text,coarse_label,fine_label,label,source_line
what is a fear of hell ?,ENTY,dismed,2,1091
what year was the naacp founded ?,NUM,date,5,2323
what are new computer games for windows 95 or 98 ?,ENTY,sport,2,4587
cnn is the abbreviation for what ?,ABBR,exp,0,262
what is the full form of .com ?,ABBR,exp,0,5
what is jimmy olsen 's full name ?,HUM,ind,3,3939
what is a fear of fish ?,ENTY,dismed,2,5410
what is the abbreviated form of the national bureau of investigation ?,ABBR,abb,0,2068
what is a fear of failure ?,ENTY,dismed,2,5044
what is troilism ?,DESC,def,1,2690
how much did manchester united spend on players in 1993 ?,NUM,money,5,4016
what is the u.s. location of procter & gamble corporate offices ?,LOC,other,4,5386
what does u.s.s.r. stand for ?,ABBR,exp,0,1661
"what clause in the u.s. constitution may not be changed , altered or amended ?",DESC,desc,1,2509
where is erykah badu originally from ?,LOC,other,4,5249
what is lmds ?,ABBR,exp,0,4348
what does ioc stand for ?,ABBR,exp,0,2253
who was thucydides ?,HUM,desc,3,1571
how many people live in chile ?,NUM,count,5,5429
what were the causes of the civil war ?,DESC,reason,1,1596
what country did the romans call hibernia ?,LOC,country,4,3163
what state is known as the hawkeye state ?,LOC,state,4,5388
what is the name of the islamic counterpart to the red cross ?,ENTY,termeq,2,1928
what does ` psi ' stand for ?,ABBR,exp,0,295
what is the recipe for eggs benedict ?,ENTY,food,2,2600
what is html ?,ABBR,exp,0,2693
what 's the score of a forfeited baseball game ?,NUM,other,5,3355
where does the u.s. rank among world countries in area ?,NUM,ord,5,1231
what is the abbreviation for micro ?,ABBR,abb,0,305
what does the `` c '' stand for in the equation e=mc2 ?,ABBR,exp,0,2086
what is the best online games site ?,LOC,other,4,3291
how is the element strontium purified ?,DESC,manner,1,3443
what concerts are held in new york this week ?,ENTY,event,2,3327
what does s.o.s. stand for ?,ABBR,exp,0,222
what wild and crazy guy wrote a book called cruel shoes ?,HUM,ind,3,5327
"what is p.m. an abbreviation for , as in 5 p.m. ?",ABBR,exp,0,5261
"what was organized as a confederate veterans ' social club in pulaski , in tennessee , in 1866 ?",ENTY,event,2,995
how many cds has garth brooks sold ?,NUM,count,5,911
the jewish alphabet is known as what ?,ENTY,termeq,2,5097
what continent is bolivia on ?,LOC,other,4,1384
"what is the latitude and longitude of el paso , texas ?",NUM,other,5,1536
what russian seaport has a name meaning `` lord of the east '' ?,LOC,city,4,547
how many marx brothers were there ?,NUM,count,5,4439
"what is the approximate population of las vegas , n.m ?",NUM,other,5,1353
who created the character james bond ?,HUM,ind,3,4940
what city in florida is sea world in ?,LOC,city,4,2706
"what singer became despondent over the death of freddie prinze , quit show business , and then quit the business ?",HUM,ind,3,1001
name randy craft 's lawyer .,HUM,ind,3,1876
what knighted actor narrates tv 's the world at war ?,HUM,ind,3,3899
who wrote the look of love after viewing ursula andress ?,HUM,ind,3,1634
what is the purpose of bios ?,DESC,reason,1,3509
what is svhs ?,ABBR,exp,0,4252
who served as inspiration for the schoolteacher portrayed by robin williams in `` dead poets society '' ?,HUM,ind,3,1378
what does necrosis mean ?,ABBR,exp,0,1717
what is the difference between college and graduate school ?,DESC,desc,1,2514
where did guinea pigs originate ?,LOC,other,4,1124
when did muhammad live ?,NUM,date,5,551
what state is mount mckinley in ?,LOC,state,4,2428
what european city do nicois live in ?,LOC,city,4,266
how many languages are there in the world ?,NUM,count,5,4901
which latin american country is the largest ?,LOC,country,4,2928
what did lenny bruce say that got him arrested ?,DESC,desc,1,4853
what nevada center has been dubbed the biggest little city in the world ?,LOC,city,4,419
